Occupied,Price,Music,Location,VIP,FavoriteBeer,Enjoy
High,Expensive,Loud,Talpiot,No,No,No
High,Expensive,Loud,City-Center,Yes,No,Yes
Moderate,Normal,Quiet,City-Center,No,Yes,Yes
Moderate,Expensive,Quiet,German-Colony,No,No,No
Moderate,Expensive,Quiet,German-Colony,Yes,Yes,Yes
Moderate,Normal,Quiet,Ein-Karem,No,No,Yes
Low,Normal,Quiet,Ein-Karem,No,No,No
Moderate,Cheap,Loud,Mahane-Yehuda,No,No,Yes
High,Expensive,Loud,City-Center,Yes,Yes,Yes
Low,Cheap,Quiet,City-Center,No,No,No
Moderate,Cheap,Loud,Talpiot,No,Yes,No
Low,Cheap,Quiet,Talpiot,Yes,Yes,No
Moderate,Expensive,Quiet,Mahane-Yehuda,No,Yes,Yes
High,Normal,Loud,Mahane-Yehuda,Yes,Yes,Yes
Moderate,Normal,Loud,Ein-Karem,No,Yes,Yes
High,Normal,Quiet,German-Colony,No,No,No
High,Cheap,Loud,City-Center,No,Yes,Yes
Low,Normal,Quiet,City-Center,No,No,No
Low,Expensive,Loud,Mahane-Yehuda,No,No,No
Moderate,Normal,Quiet,Talpiot,No,No,Yes
Low,Normal,Quiet,City-Center,No,No,Yes
Low,Cheap,Loud,Ein-Karem,Yes,Yes,Yes
